IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.490593
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",76,"2025",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.495088
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",77,"2026",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.500198
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",78,"2027",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.504074
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",79,"2028",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.50702
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",80,"2029",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.508295
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",81,"2030",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.511822
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",82,"2031",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.512834
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",83,"2032",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.514781
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",84,"2033",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.517251
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",85,"2034",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.521885
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",86,"2035",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.524932
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",87,"2036",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.525302
